certNumber,streetName,streetNumber,sector,yearBuilt,heightRegime,apartmentCount,area,yearExpertise,expertName,observations,category
242.,Soseaua PANTELIMON,235,2,1976,S+P+14E,178,15.510,2000,Emilian TITARU,,Rs2
243.,Strada PARIS,4,1,1937,S+P+3E,14,928,1995,Vladimir AMBROZIE,,Rs2
244.,Strada PARIS,40,1,1930,S+P+1E+Ma,11,881,1993,Armand NEFIAN,,Rs2
245.,Strada PASULUI,5,2,1938,S+P+3E+Ma,5,430,1994,Adina SIMION,,Rs2
246.,Strada PATRIOŢILOR (bloc M3G),3A,3,1975,S+P+10E,44,3.344,2013,Dan POPESCU,"Reîncadrare în clasă de risc seismic în anul 2013 (documentaţie tehnico economică elaborată pentru creşterea eficienţei
 energetice a construcţiei)",Rs2
247.,Strada PIAŢA AMZEI,7 - 9,1,1958,S+P+7E,90,11.718,1997,Armand NEFIAN,,Rs2
248.,Strada PITAR MOŞ,19,1,1936,S+P+2E,10,980,2011,Constantin PAVEL,Încadrare în clasă de risc seismic în anul 2011,Rs2
249.,"Aleea POIANA MUNTELUI
 (bloc OD3)",2,6,1964,S+P+9E,224,17.550,2000,Mihai NAVODARIU,,Rs2
250.,Strada POLONĂ,42,1,1930,Ds+P+2E+Pod,6,474,2011,Armand NEFIAN,Încadrare în clasă de risc seismic în anul 2011,Rs2
251.,Strada POLONĂ,47,1,1935,S+P+1E,4,238,1993,Armand NEFIAN,,Rs2
252.,Strada POLONĂ,75,1,1939,S+P+2E,3,470,1993,Armand NEFIAN,,Rs2
253.,Strada POMPILIU ELIADE,4,1,1958,S+P+6E,14,1.400,2002,Rodica VASILESCU,,Rs2
254.,Strada POPA NAN,19,3,1935,S+P+2E+Ma,11,933,1997,Silvia CARAMAN,,Rs2
255.,Strada POPA NAN,76,2,1940,S+P+3E,9,755,1996,Maria GABOR,,Rs2
256.,Strada POPA PETRE,37,2,1924,S+P+2E+Ma,7,616,1993,Adina SIMION,,Rs2
257.,Strada POPA TATU,76,1,1938,S+P+5E+Ma,12,1.180,1997,Nicolae ALEMAN,,Rs2
258.,Strada POPA TATU,78,1,1938,S+P+5E+Ma,14,1.760,1997,Nicolae TOPA,,Rs2
259.,"Strada POSTĂVARUL (bloc D2, tronson I + II)",6,3,1967,S+P+10E+1E tehnic,264,9.372,2013,Dan POPESCU,"Încadrare în clasă de risc seismic în anul 2013 (documentaţie tehnico economică elaborată pentru creşterea eficienţei energetice a
 construcţiei)",Rs2
260.,Strada POTERAŞ,35,4,1938,S+P+3E,16,895,1997,Armand NEFIAN,,Rs2
261.,"Strada POVERNEI (corp A1 + A2)
 Sediul “S.N.S.P.A.”, fostul sediu “S.R.I.”",6 - 8,4,1924 - 1929,Ds+P+2E+Ma Ds+P+2E+Pod,0,0,2008,Mircea CRIŞAN,"Încadrare în clasă de risc seismic în anul 2008 (casa scării dintre corpurile A1 şi A2 este
 încadrată în RsI)",Rs2
262.,Aleea PRAVĂŢ (bloc Z6),2,6,1968,S+P+10E,66,5.198,2010,Ion LUNGU,,Rs2
263.,"Strada PRISACA DORNEI
 (bloc D5)",6,3,1967,S+P+10E+1E tehnic,264,13.446,2013,Dan POPESCU,"Încadrare în clasă de risc seismic în anul 2013 (documentaţie tehnico economică elaborată pentru creşterea eficienţei energetice a
 construcţiei)",Rs2
264.,Intrarea PROCOPIE DUMITRESCU,3,2,1930,S+P+2E,4,509,1993,Adina SIMION,,Rs2
265.,"Bulevardul REGINA ELISABETA
 (imobil birouri – ADMINISTRAŢIA FONDULUI IMOBILIAR; Librăria „MIHAI EMINESCU”)",16,3,1935,S+P+9E,0,10.062,2001,Silvia CARAMAN,,Rs2
266.,"Bulevardul REGINA ELISABETA
 (fost Bulevardul MIHAIL KOGĂLNICEANU)","25
 (5)",5,1934,S+P+9E,40,5.000,1997,Grigore ARSENIE,,Rs2
267.,Intrarea RIGAS,29B,1,1938,P+S+6,47,4.072,2007,Rodica VASILESCU,,Rs2
268.,Strada ROMA,8,1,1923,S+P+2E,3,660,1997,Dragoş BADEA,,Rs2
269.,Strada ROMULUS,64,3,1890,S+P+1E; S+P+1E,4,909,1993,Adina SIMION,,Rs2
270.,Strada SCHITU DARVARI,14A,2,1935,S+P+2E+Ma,2,533,1997,Nicolae CONSTANTINESCU,,Rs2
271.,Bulevardul SCHITU MĂGUREANU,17,1,1938,S+P+4E+Ma,19,1.267,1997,Nicolae ALEMAN,,Rs2
272.,Bulevardul SCHITU MĂGUREANU,25,1,1947,S+P+10E,28,230,1995,Silvia CARAMAN,,Rs2
273.,Bulevardul SCHITU MĂGUREANU,39,1,1946,S+P+7E,34,3.400,1997,Teodor MARIN,,Rs2
274.,Strada SFÂNTA MARIA,51,1,1926,S+P+2E,3,309,1997,Marin TEODOR,,Rs2
275.,Strada SFÂNTUL CONSTANTIN,24,1,1927,S+P+5E,27,3.312,2000,Rodica VASILESCU,,Rs2
276.,Strada SFÂNTUL ELEFTERIE,14,5,1934,S+P+2E+Ma,12,1.112,1997,Alexandru HRISTOFOROV,,Rs2
277.,Strada SFÂNTUL ELEFTERIE,16,5,1934,S+P+3E,14,1.255,1997,Alexandru HRISTOFOROV,,Rs2
278.,Strada SFÂNTUL ŞTEFAN,4,2,1937,S+P+1E+Ma,0,0,1993,Niculaie TUDOSE,,Rs2
279.,Strada SFINŢII APOSTOLI,40,5,1945,S+P+6E,20,1.750,2002,Rodica VASILESCU,,Rs2
280.,Strada SFINŢII APOSTOLI,1,1,1897,S+P+2E,11,1.350,1997,Emilian TITARU,,Rs2
281.,Strada SFINŢII VOIEVOZI,29,1,1940,S+P+4E+Ma,29,1.848,1999,Mihai URSACHESCU,,Rs2
282.,Strada SFINŢII VOIEVOZI,55,1,1920,S+P+1E+Ma,4,572,2016,Cristian ENESCU,Încadrare în clasă de risc seismic în anul 2016,Rs2
283.,Strada SILFIDELOR,4,5,1939,S+P+7E,27,2.080,1999,Maria DARIE,,Rs2
284.,Strada SOARELUI,3 - 5,3,1900,S+P+1E+Pod,3,1.492,1993,Adina SIMION,,Rs2
285.,"Strada SPĂTARU PREDA (corp C1)
 S.C. „ŢESĂTORIILE REUNITE” S.A.",5,5,1938 - 1939,S+P+1E,0,4.416,2016,Aurelian PAVELESCU,,Rs2
286.,"Strada SPĂTARU PREDA (corp C2)
 S.C. „ŢESĂTORIILE REUNITE” S.A.",5,5,1979 - 1980,P,0,2.915,2016,Dinu CIOBOTARU,,Rs2
287.,"Strada SPĂTARU PREDA (corp C6)
 S.C. „ŢESĂTORIILE REUNITE” S.A.",5,5,1976 - 1977,P+1E,0,1.800,2016,Dinu CIOBOTARU,,Rs2
288.,Strada SPĂTARUL NICOLAE MILESCU,6,2,1933,S+P+3E,8,1.000,1997,Nicolae CONSTANTINESCU,,Rs2
289.,Strada SPĂTARULUI,1A,2,1942,S+P+7E,15,2.607,1997,Niculaie TUDOSE,,Rs2
290.,Intrarea SPĂTARULUI,3,2,1939,S+P+3E+Ma,8,1.376,1993;1997,Marin TEODOR,,Rs2
291.,Strada SPERANŢEI,13,2,1940,S+P+5E+Ma,11,1.050,1997,Stere CARACOTI,,Rs2
292.,Strada SPERANŢEI,26,2,1941,S+P+6E,26,1.255,1997,Marin TEODOR,,Rs2
293.,Strada STELEA SPATARU,12,3,1906 - 1910,Ds+P+1E+Ma,0,1.109,2016,Mihai URSACHESCU,Încadrare în clasă de risc seismic în anul 2016,Rs2
294.,Intrarea ŞTAFETEI,2A,3,1920,S+P+3E,8,530,1993,Adina SIMION,,Rs2
295.,Strada STRĂDUINŢEI,6,4,1964,S+P+9E,82,5.820,2000,Gabriel NICULESCU,,Rs2
296.,Strada ŞELARI,13,3,1910,S+P+2E,0,1.106,2016,Andrei Dragoş MARCU,Încadrare în clasă de risc seismic în anul 2016,Rs2
297.,Calea ŞERBAN VODĂ,31,4,1930,S+P+Mz+4E,29,1.374,1999,Rodica VASILESCU,,Rs2
298.,Calea ŞERBAN VODĂ,105,4,0,S+P+4E,16,1.205,1993;1995,Gabriel NICULESCU,,Rs2
299.,Calea ŞERBAN VODĂ,124,4,1938,S+P+3E+Ma,10,912,1997,Armand NEFIAN,,Rs2
300.,Şoseaua ŞTEFAN CEL MARE,5,2,1962,S+P+8E,134,1.073,1997,Marin TEODOR,,Rs2
301.,Şoseaua ŞTEFAN CEL MARE,18,2,1957,S+P+6E,21,1.782,2001,Adina SIMION,,Rs2
302.,Şoseaua ŞTEFAN CEL MARE,20,2,1936,P+3E,6,1.150,2010,Mihai URSACHESCU,,Rs2
303.,Şoseaua ŞTEFAN CEL MARE,27,2,1960,S+P+6E,49,3.430,2000,Rodica VASILESCU,,Rs2
304.,Şoseaua ŞTEFAN CEL MARE,42,2,1960,S+P+6E,24,3.269,2001,Rodica VASILESCU,,Rs2
305.,Strada ŞTEFAN MIHĂILEANU,7,2,1931,S+P+1E+Ma,1,238,1997,Nicolae CONSTANTINESCU,,Rs2
306.,"Strada STEFAN MIHAILEANU
 (corp A)",11,2,1939 - 1940,S+P+1E+Ma,4,360,2008,Eugeniu DUMITRACHE,Încadrare în clasă de risc seismic în anul 2008,Rs2
307.,"Strada STEFAN PROTOPOPESCU
 (bloc C6)",1,1,1962,S+P+11E,0,4.676,2008,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2008,Rs2
308.,Strada ŞTIRBEI VODĂ,23,1,1941,S+P+7E+Ma,25,1.980,1999,Marin TEODOR,,Rs2
309.,Strada ŞTIRBEI VODĂ,122,1,1920,S+P+1E ; S+P,4,132,1993,Silvia CARAMAN,,Rs2
310.,Strada ŞTIRBEI VODĂ,129,1,1929,S+P+3E,8,960,1996,Vladimir AMBROZIE,,Rs2
311.,"Strada TACHE GHEORGHE
 (bloc 17, tronson I  -  VIII)",13,4,1965,S+P+9E,320,24.123,1996,Corneliu MUDRACENCO,,Rs2
312.,Strada TACHE IONESCU,8,1,1938,S+P+11E,51,4.979,1998,Anatolie CAZACLIU,,Rs2
313.,Strada TARGU NEAMŢ,2,6,1971,S+P+10E,88,6.996,2000,Zefir APOSTOL,,Rs2
314.,Strada TELEAJEN,42,2,1967,S+P+3E,0,515,1993,Adina SIMION,,Rs2
315.,Strada TELEAJEN,72,2,1924; 1935,S+P+1E; S+P+1E+Ma,6,414,1993,Dan POPESCU,,Rs2
316.,Strada TEODOSIE RUDEANU,70,1,1914,S+P+1E,1,56,1997,Nicolae CONSTANTINESCU,,Rs2
317.,Strada TOAMNEI,8,2,1942,S+P+5E,27,2.224,2007,Mihai URSĂCHESCU,Încadrare în clasă de risc seismic în anul 2007,Rs2
318.,Strada TOAMNEI,121,2,1933,S+P+1E+Ma,3,357,1993,Silvia CARAMAN,,Rs2
319.,Strada TOAMNEI,125,2,1921,S+P+3E,5,328,1993,Adina SIMION,,Rs2
320.,Strada TOAMNEI,56 - 58,2,1922,S+P+2E+Pod,4,525,1993,Silvia CARAMAN,,Rs2
321.,Strada TREI SCAUNE,15,2,1937,S+P+Ma,1,120,1997,Niculaie TUDOSE,,Rs2
322.,Strada TUDOR ARGHEZI,23,2,1890,S+P+2E,0,557,1995,Ovidiu MANOIU,,Rs2
323.,Strada TUDOR ARGHEZI,32,2,1936,P+Mz+7+Ma; P+Mz+8+Ma,48,3.750,1999,Mircea NEICU. Grigore ARSENIE,,Rs2
324.,Strada VALERIU BRANIŞTE,23,3,1928,S+P+2E+Ma,10,585,1997,Alexandru HRISTOFOROV,,Rs2
325.,Strada VALERIU BRANIŞTE,60A,3,1938,S+P+3E,8,990,1997,Alexandru HRISTOFOROV,,Rs2
326.,Strada VASILE CONTA,14,2,1920,S+P+1E,7,729,1993,Adina SIMION,,Rs2
327.,"Strada VASILE CONTA
 (corp A + B + C)",3 - 5,2,1940,S+P+5E+Ma,99,6.164,1997,Alexandrina PRETORIAN,,Rs2
328.,"Strada VASILE CONTA
 (corp D + E + F)",7 - 9,2,1941,S+P+9…10E,99,6.164,1997,Alexandrina PRETORIAN,,Rs2
329.,Strada VASILE LASCĂR,8,2,1935,S+Ds+P+5E+Ma,0,3.200,2009,Rodica VASILESCU,,Rs2
330.,Strada VASILE LASCĂR,10,2,1925,S+P+4E+Ma,10,787,1993,Adina SIMION,,Rs2
331.,Strada VASILE LASCĂR,23 - 25,2,1938,S+P+8E,64,6.210,1997,Dan POPESCU,,Rs2
332.,Strada VASILE LASCĂR,46,2,1947,S+P+8E+Ma,14,1.508,2002,Gabriel NICULESCU,,Rs2
333.,Strada VASILE LASCAR,100,2,1938,S+P+5E+Ma,22,2.144,2017,Horia DUGAN,Încadrare în clasă de risc seismic în anul 2017,Rs2
334.,Strada VASILE LASCĂR,111,2,1936,S+P+3E+Ma,17,1.232,1993,Adina SIMION,,Rs2
335.,Strada VASILE LUCACIU,4C,3,1900,S+P+1E+Ma,4,418,1993,Adina SIMION,,Rs2
336.,Strada VASILE LUCACIU,101,3,1940,S+P+3E,13,903,1994,Adina SIMION,,Rs2
337.,Strada VICTOR BABEŞ,7,5,1940,S+P+2E+Ma,7,616,1997,Mihai URSACHESCU,,Rs2
338.,"Calea VICTORIEI
 (corp A + B + C + D)",1 - 5,3,1961,"S+P+9E;P+9ES+Mz+9;
 S+P+Mz+9; P+9",148,13.110,2011,Dan POPESCU,,Rs2
339.,Calea VICTORIEI,2 - 4,3,1928,S+P+8E,72,11.782,2017,Mihai VOICULESCU,"Reîncadrare în clasă de risc seismic în anul 2017 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Voicu
 DORDEA)",Rs2
340.,Calea VICTORIEI,22 - 24,3,1939,2S+P+8E,0,836,2012,Adina SIMION,Încadrare în clasă de risc seismic în anul 2012,Rs2
341.,Calea VICTORIEI,25,3,1936,2S+P+12E,49,6.071,1993,Mihail STĂNESCU,"Reîncadrare în clasă de risc seismic în anul 2012 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de
 expertul tehnic atestat M.D.R.A.P. Mircea MIRONESCU)",Rs2
342.,"Calea VICTORIEI
 (corp A + B)",103 - 105,1,1959,S+P+10E; S+P+7E,81,16.121,1994,Dragoş BADEA,,Rs2
343.,Calea VICTORIEI,128B,1,1935,S+P+3E+Ma,22,1.610,2000,Niculaie TUDOSE,,Rs2
344.,Calea VICTORIEI,136,1,1958,S+P+7E,54,4.976,2000,Mihai URSĂCHESCU,,Rs2
345.,Calea VICTORIEI,143,1,1921,S+P+5E+Ma,82,11.400,1995,Horia DUGAN,,Rs2
346.,Calea VICTORIEI,214,1,1941,S+P+8E,69,4.250,2016,Dan POPESCU,"Reîncadrare în clasă de risc seismic în anul 2016 + acordul asociaţiei proprietarilor (imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Dragoş
 BADEA)",Rs2
347.,Şoseaua VIILOR,95,5,1962,S+P+7E,192,12.542,2001,Ion LUNGU,,Rs2
348.,Strada VIIŞOAREI,2,1,1932,S+P+2E+Ma,12,1.361,1997,Vladimir AMBROZIE,,Rs2
349.,Strada VIITORULUI,107,2,1935,S+P+2E+Ma,6,810,1997,Nicolae CONSTANTINESCU,,Rs2
350.,Strada VISARION,3,1,1928,S+P+2E+Ma,9,735,1997,Alexandru HRISTOFOROV,,Rs2
351.,Strada VULTURILOR,48,3,1939,S+P+2E+Ma,8,1.210,1997,Dan POPESCU,,Rs2
352.,Strada WASHINGTON,2,1,1945,S+P+4E+Ma,13,1.005,1996,Alexandru HRISTOFOROV,,Rs2
353.,Strada WASHINGTON,4,1,1945,S+P+2E,5,672,1995,Armand NEFIAN,,Rs2
1.,Strada ACADEMIEI,1A,3,1890,S+P+2E,10,1.342,2010,Ion VARSA,,Rs3
2.,Strada ADY ENDRE,7,1,1939,S+P+1E+Ma,3,419,2015,Mihai URSĂCHESCU,,Rs3
3.,"Bulevardul ALEXANDRU OBREGIA
 (bloc 2A)",2A,4,1977 - 1979,S+P+15E,84,10.833,2016,Dan CAPATINA,Încadrare în clasă de risc seismic în anul 2016,Rs3
4.,Strada ANGHEL SALIGNY,6,5,1935,S+P+6E,32,1.876,1993;1999,Teodor NICOLAU,,Rs3
5.,Strada AURA BUZESCU,1,2,1939,S+P+2E,4,272,2010,Traian POPP,,Rs3
6.,Strada AUREL VLAICU,68,2,1936,S+P+6E,13,720,1997,Grigore ARSENIE,,Rs3
7.,"Bulevardul AVIATORILOR
 (corp B)",65,1,1933,S+P+1E,1,98,1997,Radu AGENT,,Rs3
8.,"Strada AGRICULTORI
 (corp B)",74,2,1945,S+P+3E,34,1.048,1993,Radu PETROVICI,,Rs3
9.,"Strada BALADEI
 (bloc 61)",3,4,1980,S+P+8E,80,7.263,2001,Dragoş BADEA,,Rs3
10.,Bulevardul BANU MANTA,7,1,1931,S+P+2E,20,1.110,1996,Vladimir AMBROZIE,,Rs3
11.,"Aleea BARAJUL SADULUI
 (bloc N12-13)",3 - 5,3,1975,S+P+13E+1Etehnic,166,15.848,2013,Gavril POP,"Încadrare în clasă de risc seismic RsIII spre RsII în anul 2013 (documentaţie tehnico economică elaborată pentru creşterea
 eficienţei energetice a construcţiei)",Rs3
12.,"Strada BĂLCEŞTI (corp B – tronson I,
 S.C. “BOIER HOSTEL BUCHAREST” S.R.L.)",9,3,1917,Sparţial+P+Ma,0,105,2016,Nicolae GHIŢĂ,"Încadrare în clasă de risc seismic în anul 2016 +
 declaraţiile autentificate notarial ale proprietarului şi expertului tehnic",Rs3
13.,Strada BLĂNARI,9,3,1880,S+P+2E+Pod,3,424,1993,Mihai URSĂCHESCU,"Reîncadrare în clasa de risc seismic în anul 2017
 (imobilul a fost încadrat iniţial în RsI de
 expertul tehnic atestat M.D.R.A.P. Laurențiu SPOIALĂ)",Rs3
14.,"Strada BRAŞOV
 (bloc OD5)",19,6,1965,S+P+8E,216,15.000,2013,Vasile BOGDAN,Încadrare în clasă de risc seismic în anul 2013,Rs3
15.,Strada C. A. ROSETTI,34,2,1934,S+P+2E,22,1.975,2012,Nicolae TUDOSE,Încadrare în clasă de risc seismic în anul 2012,Rs3
16.,Strada CĂDEREA BASTILIEI,19A,1,1935,S+P+3E+Ma,10,1.665,2010,Constantin RÂCA,Încadrare în clasă de risc seismic în anul 2010,Rs3
17.,Calea CĂLĂRAŞILOR,41,3,1928,S+P+1E,11,1.460,1996,Vladimir AMBROZIE,,Rs3
18.,Strada CĂLUSEI,11,2,1929,S+P+1E+Ma,3,283,2013,Apostol ZEFIR,"Încadrare în clasă de risc seismic RsIII spre RsIV
 în anul 2013",Rs3
19.,Aleea CIRCULUI,15,2,1960,S+P+1E,0,2.265,2006,Nicolae ALEMAN,,Rs3
20.,Strada CLOPOTARII VECHI,18,1,1925,S+P+3E,12,835,2006,Constantin PAVEL,,Rs3
21.,Strada CONSTANTIN COANDA,5,1,1935,S+P+2E+Ma,6,904,2016,Armand NEFIAN,"Reîncadrare în clasă de risc seismic în anul 2016
 (imobilul a fost încadrat iniţial în RsI de
 expertul tehnic atestat M.D.R.A.P. Armand NEFIAN)",Rs3
22.,Strada CONSTANTIN RADULESCU MOTRU,8,4,1976,S+P+10E,79,7.104,2010,Constantin IEREMIA,,Rs3
23.,Bulevardul DACIA,"51
 (7)",1,1932,Ds+P+6E,21,1.378,1997,Marin TEODOR,,Rs3
24.,"Bulevardul DACIA
 (corp B)",88,2,1969,S+P+6E,"36
 (corp A+B)","4.224
 (corp A+B)",2000,Horia DUGAN,,Rs3
25.,Bulevardul DACIA,"178
 (148)",2,1914,S+P+2E+Ma,8,585,1993,Adina SIMION,,Rs3
26.,Calea DOROBANŢILOR,47,1,1928,S+P+3E+Ma,10,796,1993,Rodica ANGELESCU,,Rs3
27.,Calea DOROBANŢILOR,71,1,1937,Ds+P+3E+Pod,7,424,2000,Virgil SAVA,"Încadrare în clasă de risc seismic RsIII spre RsII
 în anul 2000",Rs3
28.,Intrarea DUMITRESCU PROCOPIE,4,2,1929,S+P+2E,8,748,1993,Adina SIMION,,Rs3
29.,Strada ELENA CUZA,29,4,1930,S+P+1E+Ma,,363,2011,Bogdan GULEAC,Încadrare în clasă de risc seismic în anul 2011,Rs3
30.,Bulevardul FERDINAND I,12,2,1932,S+P+3E,2,220,2007,Dan CAPATANA,Încadrare în clasă de risc seismic în anul 2007,Rs3
31.,Bulevardul FERDINAND I,12A,2,1930,S+P+2E+Ma,13,1.044,1996,Vladimir AMBROZIE,,Rs3
32.,Bulevardul FERDINAND I,135,2,1962,S+P+4E,60,3.700,1993,Radu PETROVICI,,Rs3
33.,Strada GABROVENI,2,3,1940,S+P+7E,0,2.396,2013,Maria DARIE,Încadrare în clasă de risc seismic în anul 2013,Rs3
34.,"Strada GĂRII DE NORD (bloc A
 corp anexă. scara 2 + 3 + 4 +5 + 6)",6 - 8,1,1959,S+P+M+9E,91,1.440,2001,Emilian TITARU,"Corpul principal este încadrat în clasa de risc seismic RsI
 (exceptând scara 1 încadrată în clasa de risc seismic RsII)",Rs3
35.,Bulevardul GHEORGHE MAGHERU,43,1,1934,S+P+9E,48,5.830,1998,Grigore ARSENIE,,Rs3
36.,"Bulevardul GHEORGHE MAGHERU
 (imobile B + E)",32 - 36,1,1959,S+P+9E; S+P+7E,0,16.268,2010,Traian POPP,Încadrare în clasă de risc seismic în anul 2010,Rs3
37.,"Calea GIULEŞTI
 (bloc 4 + 4anexă; tronson 1 + 2 + 3 + 4)",46 - 48,6,1961,S+P+7E + 1E retras,0,4.256,2018,Dan POPESCU,"Încadrare în clasă de risc seismic RsIII în anul 2018 (documentaţie tehnico economică
 elaborată pentru creşterea eficienţei energetice a construcţiei)",Rs3
38.,Strada GRIGORE ALEXANDRESCU,100,1,1940,S+P+2E,7,1.975,1993,Rodica ANGELESCU,,Rs3
39.,Strada GRIGORE COBĂLCESCU,49,1,1922,S+P+1E,0,492,2011,Serban PĂUNESCU,Încadrare în clasă de risc seismic în anul 2011,Rs3
40.,Calea GRIVIŢEI,184B,1,1934 - 1935,S+P+3E,11,1.375,2013,Horia DUGAN,Încadrare în clasă de risc seismic în anul 2013,Rs3
41.,Calea GRIVIŢEI,240,1,1960,S+P+7E,96,6.683,2001,Rodica VASILESCU,,Rs3
42.,Strada IACOB FELIX,7,1,1940 - 1950,S+P+3E+Ma,10,912,2005,Anton SUITARIU,Încadrare în clasă de risc seismic în anul 2005,Rs3
43.,Strada IANCU CAPITANU,19,2,1940,S+P+2E+Ma,0,480,2015,Dan POPESCU,Încadrare în clasă de risc seismic în anul 2015,Rs3
44.,"Strada IEREMIA GRIGORESCU
 (TEATRUL DE ANIMAȚIE “ȚĂNDĂRICĂ”)",24,1,1940 - 1945,S partial+P+5E,0,4.000,2012,Mihai VOICULESCU,,Rs3
45.,Strada ILFOV,1A,5,1933,S+P+4E,0,571,1999,Rodica VASILESCU,,Rs3
46.,Splaiul INDEPENDENTEI,58,5,1932,S+P+2E,4,640,1997,Mihai URSACHESCU,,Rs3
47.,Strada ION BREZOIANU,3 - 5,5,1959,S+P+9E,0,2.990,1996,Dan CAPATINA,,Rs3
48.,Strada ION BREZOIANU,18,1,1933 - 1934,S+P+Mz+7E,27,3.168,2013,Ionel BELGUN,Încadrare în clasă de risc seismic în anul 2016,Rs3
49.,Strada ION CÂMPINEANU (corp B),1,1,1957,S+P+7E,21,5.891,2000,Mihai URSACHESCU,,Rs3
50.,Bulevardul ION MIHALACHE,71,1,1930,S+P+1E+Ma,4,352,1997,Rodica VASILESCU,,Rs3
51.,"Strada ION GHICA
 (BIBLIOTECA NAŢIONALĂ A ROMÂNIEI –
 Sediul central)",4,3,1907 - 1912,S+P+4E+Pod,,0,2004,Valentin SEVCENCO,Încadrare în clasă de risc seismic în anul 2004,Rs3
52.,Strada JULES MICHELET,15 - 17,1,1928,S+P+5E,19,3.125,1997,Mihai URSACHESCU,,Rs3
53.,Bulevardul LASCAR CATARGIU,14,1,1938,S+P+2E+Ma,10,1.064,1996,Vladimir AMBROZIE,,Rs3
54.,Bulevardul LASCAR CATARGIU,16,1,1929,S+P+3E,13,1.721,1996,Alexandru HRISTOFOROV,,Rs3
55.,"Strada LIPSCANI
 Strada STAVROPOLEOS","14
 5",3,1898; 1900,S+P+2E; S+P+2E+Ma,0,3.404,2010,Mircea MIRONESCU,Încadrare în clasă de risc seismic în anul 2010,Rs3
56.,Strada LEONIDA,16,2,1936,S+P+2E,5,453,1997,Rodica VASILESCU,,Rs3
57.,Strada LEONIDA,33,2,1934,S+P+2E ;S+P,3,315,1997,Adina SIMION,,Rs3
58.,Intrarea LICURICI,5,3,1934,S+P+2E+Ma,12,1.006,1997,Ion POPA,,Rs3
59.,Strada MAHATMA GANDHI,7,1,1925,Ds+P+1E+Ma,7,560,2014,Nicolae STOICA,Încadrare în clasă de risc seismic în anul 2014,Rs3
60.,Strada MATEI VOIEVOD,125 - 133,2,1963,S+P+10E,132,9.746,1993,Dan POPESCU,,Rs3
61.,Bulevardul MĂRĂŞEŞTI (bloc 1),42,4,1963,S+P+Mz+8E,137,11.766,2016,Dan CAPATANA,"încadrare în clasă de risc seismic în anul 2016; AC nr.531/41329/2016
 PVRTL nr.208/2017",Rs3
62.,Strada MANTULEASA,12,2,1935,S+P+5E+Ma,17,2.522,1997,Mihai URSACHESCU,,Rs3
63.,Strada MANTULEASA,5,2,1933,S+P+5E,13,1.771,1997,Mihai URSACHESCU,,Rs3
64.,Strada MANTULEASA,8,2,1932,S+P+6E,2,253,1997,Mihai URSACHESCU,,Rs3
65.,"Soseaua MIHAI BRAVU (bloc C17, scara A + B + C)",75 - 83,2,1961,S+P+9E,0,9.108,2009,Zefir APOSTOL,Încadrare în clasă de risc seismic în anul 2009,Rs3
66.,"Strada MIHAI EMINESCU
 (Teatrul „METROPOLIS”)",89,2,1952,S+P+2E,0,1.211,1997,Horia DUGAN,,Rs3
67.,Bulevardul MIHAIL KOGALNICEANU,24 (54),5,1875,S+P+2E,9,10,1993,Vladimir AMBROZIE,,Rs3
68.,Bulevardul MIHAIL KOGALNICEANU,26 (56),5,1894,S+P+2E,9,821,1996,Vladimir AMBROZIE,,Rs3
69.,Strada MIRCEA VULCĂNESCU,87B,1,1936,S+P+2E,5,435,1997,Ovidiu GEORGESCU,,Rs3
70.,Strada MITROPOLIT NIFON,1,4,1925,S+P+2E+Ma,2,257,1993,Eugeniu IORDACHESCU,,Rs3
71.,Intrarea MONEASA,5,1,1935,Ds+P+2E+Pod,9,372,2013,Constantin PAVEL,Încadrare în clasă de risc seismic în anul 2013,Rs3
72.,"Strada OCCIDENTULUI
 (corp A)",45,1,1935,S+P+3E+Ma,11,1.540,2013,Cătălin STEFAN,Încadrare în clasă de risc seismic în anul 2013,Rs3
73.,Strada OLIMPULUI,43,4,1939,S+P+3E+Ma,0,450,2014,Traian POPP,Încadrare în clasă de risc seismic în anul 2014,Rs3
74.,Soseaua OLTENITEI (bloc 12),83,4,1963,S+P+9E,40,3.544,2011,Gheorghe SARBU,Încadrare în clasă de risc seismic în anul 2011,Rs3
75.,Strada PAMFIL NASTASE,19,2,1936,S+P+2E+Ma,4,440,1997,Alexandru HRISTOFOROV,,Rs3
76.,Soseaua PANTELIMON (bloc 54),247,2,1979,S+P+Mz+18E,102,15.226,2013,Mihai VOICULESCU,Încadrare în clasă de risc seismic RsIII spre RsIV în anul 2013,Rs3
77.,Soseaua PANTELIMON (bloc 10),287,2,1973-1975,S+P+10E,160,15.730,2013,Gavril POP,"Încadrare în clasă de risc seismic RsIII în anul 2013 (documentaţie tehnico economică elaborată pentru creşterea eficienţei
 energetice a construcţiei)",Rs3
78.,Soseaua PAVEL DIMITRIEVICI KISELEFF,22,1,1961,S+P+2E,9,1.893,1997,Marin TEODOR,,Rs3
79.,Calea PLEVNEI,5 - 7,5,1947,S+P+8E,32,2.700,1993;2000,Grigore ARSENIE,,Rs3
