certNumber,streetName,streetNumber,sector,yearBuilt,heightRegime,apartmentCount,area,yearExpertise,expertName,observations,category
182.,Strada LIZEANU,19A,2,1930,S+P+2E,7,545,1993,Eugeniu IORDACHESCU,,Rs1
183.,Strada LOGOFĂTUL LUCA STROICI,1,2,1949,S+P+8E,17,2.375,1993,Radu PETROVICI,,Rs1
184.,"Strada LOGOFĂTUL LUCA STROICI
 (Fosta Strada POPA CHIȚU)","35
 (7)",2,1935,P,1,206,1993,Constantin BALAN,,Rs1
185.,Strada LONDRA,16 - 20,1,1924,S+P+4E+Ma,104,10.322,1993,"Alexandru PROGRESEANU
 Mariana STOENESCU",,Rs1
186.,Strada LUNII,2,2,1934,S+P+2E,3,430,1993,Ion LUNGU,,Rs1
187.,Strada LUNII,8,2,1929,S+P+2E,3,614,1993,Mircea CONDRUT,,Rs1
188.,Strada MARIA ROSETTI,10,2,1946,S+P+7E,34,2.738,1996,Nicolae CONSTANTINESCU,,Rs1
189.,Strada MARIA ROSETTI,53,2,1914,S+P+2E,7,1.887,1997,Grigore ARSENIE,,Rs1
190.,Strada MATEI BASARAB,31,3,1930,S+P,,185,1993,Mircea CONDRUT,,Rs1
191.,Strada MATEI VOIEVOD,18,2,1940,S+P+2E+Ma,3,736,1993,Ion LUNGU,,Rs1
192.,Strada MĂTĂSARI,12,2,1930,S+P+1E+Ma; S+P,4,310,1993,Ion LUNGU,,Rs1
193.,Strada MÂNTULEASA,42,2,1932,P+7E,30,4.232,1993,Gabriel NICULESCU,,Rs1
194.,"Strada MIHAI EMINESCU
 (corp B)",37,1,1928,S+P+2E,9,948,1993,Eugeniu IORDACHESCU,,Rs1
195.,Strada MIHAI EMINESCU,159,2,1933,S+P+3E,6,890,1995,Armand NEFIAN,,Rs1
196.,Strada MIHAI EMINESCU,173,2,1895,S+P+2E+Ma,7,465,1993,Dan STANCIULESCU,,Rs1
197.,Strada MIHAI VODĂ,13,5,1935,P+4E,14,1.624,1993,Dan STANCIULESCU,,Rs1
198.,Strada MIHAI VODĂ,15,5,1914,S+P+6E,15,1.878,1997,Niculae TUDOSE,,Rs1
199.,Bulevardul MIHAIL KOGĂLNICEANU,15 - 17,5,1920,S+P+3E+Ma,8,1.330,1993,Dan STANCIULESCU,,Rs1
200.,Bulevardul MIHAIL KOGĂLNICEANU,"23
 (77)",5,1890,S+P+2E+Ma,10,1.100,1996,Silvia CARAMAN,,Rs1
201.,Bulevardul MIHAIL KOGĂLNICEANU,"29
 (83)",5,1935,S+P+3E+Ma,22,2.070,2011,Nicolae GHITA,Încadrare în clasă de risc seismic în anul 2011,Rs1
202.,"Bulevardul MIHAIL KOGĂLNICEANU
 (corp A + B)",30,5,1922,"S+P+4E+Ma
 S+P+2E+Ma",37,4.501,1993,Gabriel NICULESCU,,Rs1
203.,Bulevardul MIHAIL KOGĂLNICEANU,43,5,1937,P+7E,16,1.740,1998,Mihai URSACHESCU,,Rs1
204.,Bulevardul MIHAIL KOGĂLNICEANU,49,5,1938,P+7E,83,2.590,1998,Mihai URSACHESCU,,Rs1
205.,Bulevardul MIHAIL KOGĂLNICEANU,51,5,1929,S+P+7E,43,7.353,1993,Corneliu NICUT,,Rs1
206.,Strada MIHAIL MOXA,2,1,1920,S+P+Mz+1E+Ma,0,1.562,1993,Constantin ARIENESCU,,Rs1
207.,Strada MIHAIL MOXA,14,1,1890,S+P+Ma,0,795,1993,Constantin ARIENESCU,,Rs1
208.,Strada MIHAIL MOXA,18,1,1880,S+P+1E,0,760,1993,Constantin ARIENESCU,,Rs1
209.,Strada MIRCEA VULCĂNESCU,12,1,1917,S+P+2E+Pod,3,362,2017,Dinu CIUBOTARIU,,Rs1
210.,Strada MIRCEA VULCĂNESCU,32A,1,1900,S+P+2E+Ma,8,856,1994,Radu DIAMANDOPOL,,Rs1
211.,Strada MIRCEA VULCĂNESCU,66,1,1930,S+P+2E+Ma,5,520,1996,Nicolae CONSTANTINESCU,,Rs1
212.,Strada MIRCEA VULCĂNESCU,74,1,1935,S+P+3E+Ma,5,839,1995,Ovidiu GEORGESCU,,Rs1
213.,"Aleea MODROGAN
 (tronson I; MINISTERUL AFACERILOR EXTERNE)",14,1,1949 - 1952,S+P+3E+Pod,0,3.240,2011,Traian POPP,,Rs1
214.,Calea MOŞILOR,42,3,1930,P+4E+Ma,4,442,1993,Alexandru NEFIAN,,Rs1
215.,Calea MOŞILOR,96,2,1900,S+P+5E+Ma,11,1.803,1993,Ioan VÎRSA,,Rs1
216.,Calea MOŞILOR,131,2,1938,S+P+5E+Ma,29,2.028,1993,Dan STANCIULESCU,,Rs1
217.,Calea MOŞILOR,149,2,1934,S+Ds+P+4E,12,1.084,2009,Rodica VASILESCU,,Rs1
218.,Intrarea NESTOREL,5,4,1914,S+P+1E,1,295,1993,Rodica ANGELESCU,,Rs1
219.,Bulevardul NICOLAE BĂLCESCU,7,1,1933,S+P+6E,15,2.730,1998,Alexandrina PRETORIAN,,Rs1
220.,"Bulevardul NICOLAE BĂLCESCU
 (corp A + B)",21,1,1920 - 1940,S+P+7E,0,5.952,2014,Mihai URSĂCHESCU,Încadrare în clasă de risc seismic în anul 2014,Rs1
221.,Bulevardul NICOLAE BĂLCESCU,30,1,1936,S+P+8E+Ma,25,2.756,1999,MihaiURSACHESCU,,Rs1
222.,Bulevardul NICOLAE BĂLCESCU,32 - 34,1,1935,S+P+9E,45,6.996,1998,Alexandrina PRETORIAN,,Rs1
223.,Strada NICOLAE GOLESCU,5,1,1938,P+9E,21,1.766,1998,Alexandrina PRETORIAN,,Rs1
224.,"Bulevardul NICOLAE GRIGORESCU
 (corp A; Centrul de Diagnostic şi Tratament „TITAN”)",41,3,1971,Ds+P+6E,0,6.584,1996,Dan STĂNCIULESCU,,Rs1
225.,Strada NICOLAE IORGA,22,1,1939,S+P+6E+Ma,31,3.140,1995,Adina SIMION,,Rs1
226.,Strada NICOLAE MAVROGHENI,15,3,1906,S+P+1E+Ma,1,239,1993,Laurenţiu SPOIALA,,Rs1
227.,Strada NICOLAE TONITZA,3,3,1901,S+P+2E,16,2.995,1993,Radu DIAMANDOPOL,,Rs1
228.,Strada NICOLAE TONITZA,11,3,1940,S+P+8E,67,3.700,1993,Dan POPESCU,,Rs1
229.,Intrarea NICOLAE VERMONT,6,2,1930,S+P+2E,4,489,1993,Mircea CONDRUT,,Rs1
230.,Strada OCCIDENTULUI,55,1,1890,S+P+1E,8,527,1993,Elena DRAGOMIRESCU,,Rs1
231.,Strada OSTAŞILOR,4,1,1927,P+5E+Ma; P+4E+Ma,18,2.832,1997,Alexandrina PRETORIAN,,Rs1
232.,Bulevardul PACHE PROTOPOPESCU (corp C),66,2,1910,S+P+2E,1,715,1993,Mircea CONDRUT,,Rs1
233.,"Bulevardul PACHE PROTOPOPESCU
 (corp B)",91,2,1940,S+P+2E,5,420,1993,Ion LUNGU,,Rs1
234.,Bulevardul PACHE PROTOPOPESCU,113,2,1920,S+P+2E+Ma,7,640,1994,Vasile DORDEA,,Rs1
235.,Piata PACHE PROTOPOPESCU,11,2,1935,S+P+3E+Ma,10,1.410,1993,Ion LUNGU,,Rs1
236.,Soseaua PANDURI,36,5,1938,S+P+4E,11,602,2004,Rodica VASILESCU,,Rs1
